"threat.status.mma","search.str"
"CR","Serjania hatschbachii"
"VU","Talisia subalbens"
"VU","Urvillea glabra"
"EN","Chrysophyllum imperiale"
"VU","Chrysophyllum januariense"
"VU","Manilkara dardanoi"
"VU","Manilkara decrescens"
"EN","Manilkara maxima"
"VU","Manilkara multifida"
"EN","Micropholis emarginata"
"EN","Micropholis splendens"
"CR","Pouteria bapeba"
"EN","Pouteria bullata"
"CR","Pouteria butyrocarpa"
"VU","Pouteria coelomatica"
"EN","Pouteria decussata"
"EN","Pouteria furcata"
"EN","Pouteria macahensis"
"VU","Pouteria multiflora"
"EN","Pouteria oxypetala"
"VU","Pouteria pachycalyx"
"VU","Pouteria petiolata"
"VU","Pouteria vernicosa"
"EN","Pouteria virescens"
"VU","Pradosia granulosa"
"EN","Pradosia kuhlmannii"
"VU","Pradosia subverticillata"
"EN","Pradosia verticillata"
"VU","Sarcaulus vestitus"
"EN","Buddleja speciosissima"
"VU","Selaginella mendoncae"
"EN","Castela tweedii"
"VU","Simaba glabra"
"EN","Simaba insignis"
"CR","Simaba salubris"
"CR","Simaba suaveolens"
"EN","Simaba warmingiana"
"EN","Smilax lappacea"
"EN","Smilax lutescens"
"VU","Smilax muscosa"
"EN","Smilax spicata"
"EN","Smilax subsessiliflora"
"EN","Calibrachoa eglandulata"
"EN","Calibrachoa elegans"
"EN","Calibrachoa humilis"
"VU","Calibrachoa spathulata"
"EN","Lycianthes repens"
"VU","Nicotiana mutabilis"
"CR","Nierembergia pinifolia"
"EN","Petunia bonjardinensis"
"EN","Petunia exserta"
"EN","Petunia mantiqueirensis"
"CR","Petunia reitzii"
"CR","Petunia saxicola"
"EN","Schwenckia curviflora"
"CR","Schwenckia nova-veneciana"
"EN","Solanum arenarium"
"EN","Solanum bahianum"
"EN","Solanum graveolens"
"EN","Solanum jabrense"
"EN","Solanum paralum"
"EN","Solanum restingae"
"VU","Solanum santosii"
"CR","Solanum spissifolium"
"EN","Solanum viscosissimum"
"EN","Solanum warmingii"
"EN","Symplocos corymboclados"
"EN","Symplocos itatiaiae"
"CR","Symplocos neglecta"
"EN","Symplocos organensis"
"EN","Symplocos rhamnifolia"
"EN","Thelypteris cutiataensis"
"EN","Thelypteris littoralis"
"VU","Thelypteris montana"
"CR","Thelypteris multigemmifera"
"CR","Thelypteris novaeana"
"VU","Trigoniodendron spiritusanctense"
"EN","Tropaeolum warmingianum"
"CR","Pilea aparadensis"
"VU","Pilea flammula"
"EN","Barbacenia delicatula"
"CR","Barbacenia exscapa"
"CR","Barbacenia glutinosa"
"EN","Barbacenia gounelleana"
"CR","Barbacenia longiscapa"
"EN","Barbacenia paranaensis"
"CR","Barbacenia pungens"
"CR","Barbacenia riparia"
"EN","Barbacenia rodriguesii"
"EN","Barbacenia spectabilis"
"EN","Barbacenia spiralis"
"EN","Vellozia alata"
"EN","Vellozia armata"
"EN","Vellozia barbata"
"CR","Vellozia canelinha"
"EN","Vellozia gigantea"
"EN","Vellozia glabra"
"EN","Vellozia hatschbachii"
"EN","Vellozia leptopetala"
"EN","Vellozia lilacina"
"EN","Vellozia metzgerae"
"EN","Vellozia nuda"
"EN","Vellozia patens"
"EN","Vellozia piresiana"
"EN","Vellozia pulchra"
"EN","Vellozia sessilis"
"EN","Vellozia streptophylla"
"EN","Vellozia subalata"
"EN","Aloysia hatschbachii"
"EN","Citharexylum obtusifolium"
"VU","Lippia alnifolia"
"VU","Lippia bradei"
"EN","Lippia bromleyana"
"VU","Lippia elliptica"
"VU","Lippia insignis"
"EN","Lippia morii"
"EN","Lippia pumila"
"EN","Lippia rhodocnemis"
"EN","Recordia reitzii"
"EN","Stachytarpheta almasensis"
"EN","Stachytarpheta procumbens"
"VU","Stachytarpheta radlkoferiana"
"CR","Hybanthus albus"
"EN","Pombalia strigoides"
"CR","Rinorea bicornuta"
"EN","Rinorea longistipulata"
"EN","Rinorea ramiziana"
"CR","Rinorea villosiflora"
"EN","Viola gracillima"
"EN","Cissus apendiculata"
"VU","Cissus inundata"
"EN","Callisthene inundata"
"EN","Erisma arietinum"
"VU","Qualea coerulea"
"EN","Qualea magna"
"EN","Vochysia angelica"
"EN","Vochysia pygmaea"
"EN","Vochysia santaluciae"
"EN","Xyris aurea"
"EN","Xyris blepharophylla"
"EN","Xyris cipoensis"
"CR","Xyris coutensis"
"CR","Xyris dardanoi"
"CR","Xyris fibrosa"
"EN","Xyris fusca"
"CR","Xyris hatschbachii"
"CR","Xyris hystrix"
"EN","Xyris longifolia"
"EN","Xyris lucida"
"EN","Xyris morii"
"EN","Xyris neglecta"
"CR","Xyris nigricans"
"EN","Xyris obtusiuscula"
"EN","Xyris phaeocephala"
"CR","Xyris platystachya"
"EN","Xyris reitzii"
"CR","Xyris retrorsifimbriata"
"CR","Xyris rigida"
"EN","Xyris sincorana"
"CR","Xyris sororia"
"VU","Xyris stenophylla"
"CR","Xyris tortilis"
"CR","Xyris uninervis"
"EN","Xyris vacillans"
"EN","Xyris wawrae"
"EN","Renealmia brasiliensis"
